Key	Type	TagName
4598	tags	Alternate History
6052	tags	Noir
13276	tags	Tanks
5055	tags	e-sports
1714	tags	Psychedelic
31275	tags	Text-Based
31579	tags	Otome
19995	tags	Dark Comedy
1647	tags	Western
1732	tags	Voxel
5502	tags	Hacking
5179	tags	Cold War
11123	tags	Mouse only
150626	tags	Gaming
5765	tags	Gun Customization
4608	tags	Swordplay
5794	tags	Science
379975	tags	Clicker
10808	tags	Supernatural
4474	tags	CRPG
6910	tags	Naval
1717	tags	Hex Grid
3813	tags	Real Time Tactics
4508	tags	Co-op Campaign
4559	tags	Quick-Time Events
5154	tags	Score Attack
9564	tags	Hunting
1651	tags	Satire
5300	tags	God Game
4145	tags	Cinematic
4155	tags	Class-Based
1680	tags	Heist
11333	tags	Villain Protagonist
4853	tags	Political
4754	tags	Politics
4018	tags	Vampire
3955	tags	Character Action Game
5094	tags	Narration
7226	tags	Football
13190	tags	America
7113	tags	Crowdfunded
4878	tags	Parody 
8666	tags	Runner
3854	tags	Lore-Rich
3796	tags	Based On A Novel
5382	tags	World War I
4202	tags	Trading
10679	tags	Time Travel
1679	tags	Soccer
15954	tags	Silent Protagonist
18594	tags	FMV
3952	tags	Gothic
9157	tags	Underwater
1736	tags	LEGO
7569	tags	Grid-Based Movement
12286	tags	Warhammer 40K
5796	tags	Bullet Time
6915	tags	Martial Arts
6621	tags	Pinball
7423	tags	Sniper
16094	tags	Mythology
22602	tags	Agriculture
4835	tags	6DOF
5432	tags	Programming
17770	tags	Asynchronous Multiplayer
5372	tags	Conspiracy
1735	tags	Star Wars
15564	tags	Fishing
1694	tags	Batman
5390	tags	Time Attack
4777	tags	Spectacle fighter
6625	tags	Time Manipulation
348922	tags	Steam Machine
56690	tags	On-Rails Shooter
5673	tags	Modern
6869	tags	Nonlinear
6276	tags	Inventory Management
7622	tags	Offroad
5981	tags	Mining
6948	tags	Rome
134316	tags	Philisophical
17015	tags	Werewolves
13577	tags	Sailing
5407	tags	Benchmark
4184	tags	Chess
16250	tags	Gambling
603297	tags	Hardware
6041	tags	Horses
8253	tags	Music-Based Procedural Generation
9592	tags	Dynamic Narration
6310	tags	Diplomacy
6702	tags	Mars
198631	tags	Mystery Dungeon
24904	tags	NSFW
1674	tags	Typing
9994	tags	Experience
4845	tags	Capitalism
24003	tags	Word Game
776177	tags	360 Video
1746	tags	Basketball
8369	tags	Investigation
7038	tags	Golf
233824	tags	Feature Film
1730	tags	Sokoban
21006	tags	Underground
21722	tags	Lara Croft
17337	tags	Lemmings
4137	tags	Transhumanism
7926	tags	Artificial Intelligence
7328	tags	Bowling
22955	tags	Mini Golf
47827	tags	Wrestling
17927	tags	Pool
15172	tags	Conversation
51306	tags	Foreign
71389	tags	Spelling
180368	tags	Faith
14906	tags	Intentionally Awkward Controls
19568	tags	Cycling
27758	tags	Voice Control
123332	tags	Bikes
